+-------------------------------+---------+-------------+-----------+------------+----------+-----------+---------------------------------------------+
| Name                          | Density | Temperature | Viscosity | Luminosity | Rarity   | isGaseous | Block                                       |
+-------------------------------+---------+-------------+-----------+------------+----------+-----------+---------------------------------------------+
| aerotheum                     |    -800 |         300 |       100 |          0 | RARE     |      true | thermalfoundation:fluid_aerotheum           |
| aluminum                      |    2000 |         900 |      6000 |         15 | COMMON   |     false | embers:aluminum                             |
| ammonia                       |     -10 |         300 |        40 |          0 | COMMON   |      true | nuclearcraft:fluid_ammonia                  |
| astralsorcery.liquidstarlight |    1001 |         100 |       300 |         15 | EPIC     |     false | astralsorcery:fluidblockliquidstarlight     |
| bef2                          |    5000 |        1000 |      5000 |         10 | COMMON   |     false | nuclearcraft:fluid_bef2                     |
| beryllium                     |    5000 |        1000 |      5000 |         10 | COMMON   |     false | nuclearcraft:fluid_beryllium                |
| biodiesel                     |     789 |         300 |      1000 |          0 | COMMON   |     false | immersiveengineering:fluidbiodiesel         |
| blood                         |    1000 |         300 |      1000 |          0 | COMMON   |     false | biomesoplenty:blood                         |
| boric_acid                    |    1000 |         300 |      1000 |          0 | COMMON   |     false | nuclearcraft:fluid_boric_acid               |
| boron10                       |    5000 |        1000 |      5000 |         10 | COMMON   |     false | nuclearcraft:fluid_boron10                  |
| boron11                       |    5000 |        1000 |      5000 |         10 | COMMON   |     false | nuclearcraft:fluid_boron11                  |
| boron_nitride_solution        |    1000 |         300 |      1000 |          0 | COMMON   |     false | nuclearcraft:fluid_boron_nitride_solution   |
| bronze                        |    2000 |         900 |      6000 |         15 | COMMON   |     false | embers:bronze                               |
| calcium_sulfate_solution      |    1000 |         300 |      1000 |          0 | COMMON   |     false | nuclearcraft:fluid_calcium_sulfate_solution |
| coal                          |     900 |         300 |      2000 |          0 | COMMON   |     false | -                                           |
| concrete                      |    2400 |         300 |      4000 |          0 | COMMON   |     false | immersiveengineering:fluidconcrete          |
| coolant                       |    1000 |         300 |      1000 |          0 | COMMON   |     false | nuclearcraft:fluid_coolant                  |
| copper                        |    2000 |         900 |      6000 |         15 | COMMON   |     false | embers:copper                               |
| creosote                      |    1100 |         300 |      3000 |          0 | COMMON   |     false | immersiveengineering:fluidcreosote          |
| crude_oil                     |     900 |         300 |      2000 |          0 | COMMON   |     false | thermalfoundation:fluid_crude_oil           |
| cryotheum                     |    4000 |          50 |      4000 |          0 | RARE     |     false | thermalfoundation:fluid_cryotheum           |
| dawnstone                     |    2000 |         900 |      6000 |         15 | COMMON   |     false | embers:dawnstone                            |
| deuterium                     |     -10 |         300 |        40 |          0 | COMMON   |      true | nuclearcraft:fluid_deuterium                |
| diborane                      |     -10 |         300 |        40 |          0 | COMMON   |      true | nuclearcraft:fluid_diborane                 |
| diesel                        |     789 |         300 |      1750 |          0 | COMMON   |     false | immersivepetroleum:fluid_diesel             |
| electrum                      |    2000 |         900 |      6000 |         15 | COMMON   |     false | embers:electrum                             |
| ender                         |    4000 |         300 |      2500 |          3 | UNCOMMON |     false | thermalfoundation:fluid_ender               |
| etchacid                      |    1000 |         300 |      1000 |          0 | COMMON   |     false | pneumaticcraft:fluid.etchacid               |
| ethanol                       |     789 |         300 |      1000 |          0 | COMMON   |     false | immersiveengineering:fluidethanol           |
| experience                    |    -200 |         300 |       200 |         12 | UNCOMMON |      true | -                                           |
| flibe                         |    5000 |        1000 |      5000 |         10 | COMMON   |     false | nuclearcraft:fluid_flibe                    |
