+-------------------------------------------------+----------+--------------------------------------------+-------------------------------------------------------------------------------------------+-----+
| Registry name                                   | Meta/dmg | Display name                               | Ore Dict Keys                                                                             | NBT |
+-------------------------------------------------+----------+--------------------------------------------+-------------------------------------------------------------------------------------------+-----+
| advancedrocketry:concrete                       |        0 | Concrete                                   | concrete                                                                                  |     |
| advancedrocketry:lens                           |        0 | Basic Lens                                 | itemLens                                                                                  |     |
| advancedrocketry:metal0                         |        0 | Titanium Aluminide Block                   | blockTitaniumAluminide                                                                    |     |
| advancedrocketry:metal0                         |        1 | Titanium Iridium Alloy Block               | blockTitaniumIridium                                                                      |     |
| advancedrocketry:misc                           |        1 | Carbon Brick                               | ingotCarbon                                                                               |     |
| advancedrocketry:productdust                    |        0 | Titanium Aluminide Dust                    | dustTitaniumAluminide                                                                     |     |
| advancedrocketry:productdust                    |        1 | Titanium Iridium Alloy Dust                | dustTitaniumIridium                                                                       |     |
| advancedrocketry:productgear                    |        0 | Titanium Aluminide Gear                    | gearTitaniumAluminide                                                                     |     |
| advancedrocketry:productgear                    |        1 | Titanium Iridium Alloy Gear                | gearTitaniumIridium                                                                       |     |
| advancedrocketry:productingot                   |        0 | Titanium Aluminide Ingot                   | ingotTitaniumAluminide                                                                    |     |
| advancedrocketry:productingot                   |        1 | Titanium Iridium Alloy Ingot               | ingotTitaniumIridium                                                                      |     |
| advancedrocketry:productnugget                  |        0 | Titanium Aluminide Nugget                  | nuggetTitaniumAluminide                                                                   |     |
| advancedrocketry:productnugget                  |        1 | Titanium Iridium Alloy Nugget              | nuggetTitaniumIridium                                                                     |     |
| advancedrocketry:productplate                   |        0 | Titanium Aluminide Plate                   | plateTitaniumAluminide                                                                    |     |
| advancedrocketry:productplate                   |        1 | Titanium Iridium Alloy Plate               | plateTitaniumIridium                                                                      |     |
| advancedrocketry:productrod                     |        0 | Titanium Aluminide Rod                     | stickTitaniumAluminide                                                                    |     |
| advancedrocketry:productrod                     |        1 | Titanium Iridium Alloy Rod                 | stickTitaniumIridium                                                                      |     |
| advancedrocketry:productsheet                   |        0 | Titanium Aluminide Sheet                   | sheetTitaniumAluminide                                                                    |     |
| advancedrocketry:productsheet                   |        1 | Titanium Iridium Alloy Sheet               | sheetTitaniumIridium                                                                      |     |
| advancedrocketry:thermite                       |        0 | Thermite                                   | dustThermite                                                                              |     |
| advancedrocketry:wafer                          |        0 | Silicon Wafer                              | waferSilicon                                                                              |     |
| appliedenergistics2:charged_quartz_ore          |        0 | Charged Certus Quartz Ore                  | oreCertusQuartz,oreChargedCertusQuartz                                                    |     |
| appliedenergistics2:material                    |        0 | Certus Quartz Crystal                      | crystalCertusQuartz                                                                       |     |
| appliedenergistics2:material                    |       12 | Pure Fluix Crystal                         | crystalPureFluix                                                                          |     |
| appliedenergistics2:material                    |        2 | Certus Quartz Dust                         | dustCertusQuartz                                                                          |     |
| appliedenergistics2:material                    |        3 | Nether Quartz Dust                         | dustNetherQuartz                                                                          |     |
| appliedenergistics2:material                    |        4 | Flour                                      | dustWheat                                                                                 |     |
| appliedenergistics2:material                    |       40 | Wooden Gear                                | gearWood                                                                                  |     |
| appliedenergistics2:material                    |       46 | Ender Dust                                 | dustEnder,dustEnderPearl                                                                  |     |
