+------------------------------------+-------------------------------------------------+----------+--------------------------------------------+-----+
| OreDict Key                        | Registry name                                   | Meta/dmg | Display name                               | NBT |
+------------------------------------+-------------------------------------------------+----------+--------------------------------------------+-----+
| alloysMagical                      | essentialcraft:genitem                          |        0 | Combined Magical Alloys                    |     |
| ballMud                            | biomesoplenty:mudball                           |        0 | Mud Ball                                   |     |
| bioplastic                         | nuclearcraft:part                               |        6 | Bioplastic                                 |     |
| blockAethium                       | environmentaltech:aethium                       |        0 | Aethium                                    |     |
| blockAethium                       | environmentaltech:aethium                       |        1 | Aethium Paver                              |     |
| blockAethium                       | environmentaltech:aethium                       |        2 | Aethium Bricks                             |     |
| blockAethium                       | environmentaltech:aethium                       |        3 | Aethium Tiles                              |     |
| blockAgate                         | silentgems:gemblock                             |       12 | Agate Block                                |     |
| blockAgateSuper                    | silentgems:gemblocksuper                        |       12 | Supercharged Agate Block                   |     |
| blockAirElemental                  | essentialcraft:compressed                       |        3 | Compressed Air Drops                       |     |
| blockAlexandrite                   | silentgems:gemblockdark                         |       15 | Alexandrite Block                          |     |
| blockAlexandriteSuper              | silentgems:gemblocksuperdark                    |       15 | Supercharged Alexandrite Block             |     |
| blockAluminum                      | embers:block_aluminum                           |        0 | Aluminum Block                             |     |
| blockAluminum                      | immersiveengineering:storage                    |        1 | Block of Aluminium                         |     |
| blockAluminum                      | libvulpes:metal0                                |        9 | Aluminum Block                             |     |
| blockAluminum                      | thermalfoundation:storage                       |        4 | Aluminum Block                             |     |
| blockAmber                         | silentgems:gemblock                             |        3 | Amber Block                                |     |
| blockAmberSuper                    | silentgems:gemblocksuper                        |        3 | Supercharged Amber Block                   |     |
| blockAmethyst                      | silentgems:gemblock                             |       11 | Amethyst Block                             |     |
| blockAmethystSuper                 | silentgems:gemblocksuper                        |       11 | Supercharged Amethyst Block                |     |
| blockAmetrine                      | silentgems:gemblockdark                         |       13 | Ametrine Block                             |     |
| blockAmetrineSuper                 | silentgems:gemblocksuperdark                    |       13 | Supercharged Ametrine Block                |     |
| blockAmmolite                      | silentgems:gemblocklight                        |       11 | Ammolite Block                             |     |
| blockAmmoliteSuper                 | silentgems:gemblocksuperlight                   |       11 | Supercharged Ammolite Block                |     |
| blockApatite                       | silentgems:gemblocklight                        |        7 | Apatite Block                              |     |
| blockApatiteSuper                  | silentgems:gemblocksuperlight                   |        7 | Supercharged Apatite Block                 |     |
